"Arn","AttachmentCount","CreateDate","DefaultVersionId","Description","IsAttachable","Path","PermissionsBoundaryUsageCount","PolicyId","PolicyName","UpdateDate"
"arn:aws:iam::aws:policy/AWSDirectConnectReadOnlyAccess","0","2/6/15 12:40:08 PM","v2",,"True","/","0","ANPAI23HZ27SI6FQMGNQ2","AWSDirectConnectReadOnlyAccess","8/15/18 12:28:44 PM"
"arn:aws:iam::aws:policy/AmazonGlacierReadOnlyAccess","0","2/6/15 12:40:27 PM","v2",,"True","/","0","ANPAI2D5NJKMU274MET4E","AmazonGlacierReadOnlyAccess","5/5/16 1:46:10 PM"
"arn:aws:iam::aws:policy/AWSMarketplaceFullAccess","0","2/11/15 11:21:45 AM","v3",,"True","/","0","ANPAI2DV5ULJSO2FYVPYG","AWSMarketplaceFullAccess","8/8/18 4:13:02 PM"
"arn:aws:iam::aws:policy/aws-service-role/ClientVPNServiceRolePolicy","0","12/10/18 3:20:25 PM","v2",,"True","/aws-service-role/","0","ANPAI2SV25KUCYQYS5N74","ClientVPNServiceRolePolicy","1/16/19 4:22:28 PM"
"arn:aws:iam::aws:policy/AWSSSODirectoryAdministrator","0","10/31/18 6:54:00 PM","v1",,"True","/","0","ANPAI2TCZRD7WRD5D2E2Q","AWSSSODirectoryAdministrator","10/31/18 6:54:00 PM"
"arn:aws:iam::aws:policy/AWSIoT1ClickReadOnlyAccess","0","5/11/18 4:49:24 PM","v1",,"True","/","0","ANPAI35VTLD3EBNY2JGXS","AWSIoT1ClickReadOnlyAccess","5/11/18 4:49:24 PM"
"arn:aws:iam::aws:policy/AutoScalingConsoleReadOnlyAccess","0","1/12/17 1:48:53 PM","v1",,"True","/","0","ANPAI3A7GDXOYQV3VUQMK","AutoScalingConsoleReadOnlyAccess","1/12/17 1:48:53 PM"
"arn:aws:iam::aws:policy/service-role/AmazonDMSRedshiftS3Role","0","4/20/16 12:05:56 PM","v1",,"True","/service-role/","0","ANPAI3CCUQ4U5WNC5F6B6","AmazonDMSRedshiftS3Role","4/20/16 12:05:56 PM"
"arn:aws:iam::aws:policy/service-role/AWSQuickSightListIAM","0","11/10/15 5:25:07 PM","v1",,"True","/service-role/","0","ANPAI3CH5UUWZN4EKGILO","AWSQuickSightListIAM","11/10/15 5:25:07 PM"
"arn:aws:iam::aws:policy/AWSHealthFullAccess","0","12/6/16 6:30:31 AM","v1",,"True","/","0","ANPAI3CUMPCPEUPCSXC4Y","AWSHealthFullAccess","12/6/16 6:30:31 AM"
"arn:aws:iam::aws:policy/AlexaForBusinessGatewayExecution","0","11/30/17 10:47:19 AM","v1",,"True","/","0","ANPAI3LZ7YP7KHLG4DT2Q","AlexaForBusinessGatewayExecution","11/30/17 10:47:19 AM"
"arn:aws:iam::aws:policy/AmazonElasticTranscoder_ReadOnlyAccess","0","6/7/18 4:09:56 PM","v1",,"True","/","0","ANPAI3R3CR6KVEWD4DPFY","AmazonElasticTranscoder_ReadOnlyAccess","6/7/18 4:09:56 PM"
"arn:aws:iam::aws:policy/AmazonRDSFullAccess","0","2/6/15 12:40:52 PM","v6",,"True","/","0","ANPAI3R4QMOG6Q5A4VWVG","AmazonRDSFullAccess","4/9/18 12:42:48 PM"
"arn:aws:iam::aws:policy/job-function/SupportUser","0","11/10/16 11:21:53 AM","v2",,"True","/job-function/","0","ANPAI3V4GSSN5SJY3P2RO","SupportUser","5/17/17 6:11:51 PM"
"arn:aws:iam::aws:policy/AmazonEC2FullAccess","0","2/6/15 12:40:15 PM","v5",,"True","/","0","ANPAI3VAJF5ZCRZ7MCQE6","AmazonEC2FullAccess","11/26/18 8:16:56 PM"
"arn:aws:iam::aws:policy/SecretsManagerReadWrite","0","4/4/18 1:05:29 PM","v2",,"True","/","0","ANPAI3VG7CI5BIQZQ6G2E","SecretsManagerReadWrite","5/3/18 3:02:35 PM"
"arn:aws:iam::aws:policy/service-role/AWSIoTThingsRegistration","0","12/1/17 2:21:52 PM","v1",,"True","/service-role/","0","ANPAI3YQXTC5XAEVTJNEU","AWSIoTThingsRegistration","12/1/17 2:21:52 PM"
"arn:aws:iam::aws:policy/AmazonDocDBReadOnlyAccess","0","1/9/19 2:30:28 PM","v1",,"True","/","0","ANPAI477RMVACLTLWY5RQ","AmazonDocDBReadOnlyAccess","1/9/19 2:30:28 PM"
"arn:aws:iam::aws:policy/AWSElasticBeanstalkReadOnlyAccess","0","2/6/15 12:40:19 PM","v1",,"True","/","0","ANPAI47KNGXDAXFD4SDHG","AWSElasticBeanstalkReadOnlyAccess","2/6/15 12:40:19 PM"
"arn:aws:iam::aws:policy/AmazonMQApiFullAccess","0","12/18/18 2:31:31 PM","v1",,"True","/","0","ANPAI4CMO533EBV3L2GW4","AmazonMQApiFullAccess","12/18/18 2:31:31 PM"
"arn:aws:iam::aws:policy/AWSElementalMediaStoreReadOnly","0","3/8/18 1:48:22 PM","v1",,"True","/","0","ANPAI4EFXRATQYOFTAEFM","AWSElementalMediaStoreReadOnly","3/8/18 1:48:22 PM"
"arn:aws:iam::aws:policy/AWSCertificateManagerReadOnly","0","1/21/16 11:07:33 AM","v2",,"True","/","0","ANPAI4GSWX6S4MESJ3EWC","AWSCertificateManagerReadOnly","4/21/16 10:08:16 AM"
"arn:aws:iam::aws:policy/service-role/AWSQuicksightAthenaAccess","0","12/8/16 8:31:03 PM","v4",,"True","/service-role/","0","ANPAI4JB77JXFQXDWNRPM","AWSQuicksightAthenaAccess","8/7/18 3:24:55 PM"
"arn:aws:iam::aws:policy/AWSCloudMapRegisterInstanceAccess","0","11/28/18 6:04:57 PM","v1",,"True","/","0","ANPAI4P5Z5HXVWJ75WQBC","AWSCloudMapRegisterInstanceAccess","11/28/18 6:04:57 PM"
"arn:aws:iam::aws:policy/AWSMarketplaceImageBuildFullAccess","0","7/31/18 6:29:49 PM","v2",,"True","/","0","ANPAI4QBMJWC3BNHBHN6I","AWSMarketplaceImageBuildFullAccess","8/8/18 4:11:59 PM"
"arn:aws:iam::aws:policy/AWSCodeCommitPowerUser","0","7/9/15 12:06:49 PM","v4",,"True","/","0","ANPAI4UIINUVGB5SEC57G","AWSCodeCommitPowerUser","11/20/17 2:02:27 PM"
"arn:aws:iam::aws:policy/AWSCodeCommitFullAccess","0","7/9/15 12:02:19 PM","v2",,"True","/","0","ANPAI4VCZ3XPIZLQ5NZV2","AWSCodeCommitFullAccess","11/20/17 2:04:31 PM"
"arn:aws:iam::aws:policy/IAMSelfManageServiceSpecificCredentials","0","12/22/16 11:25:18 AM","v1",,"True","/","0","ANPAI4VT74EMXK2PMQJM2","IAMSelfManageServiceSpecificCredentials","12/22/16 11:25:18 AM"
"arn:aws:iam::aws:policy/aws-service-role/AmazonEMRCleanupPolicy","0","9/26/17 6:54:19 PM","v1",,"True","/aws-service-role/","0","ANPAI4YEZURRMKACW56EA","AmazonEMRCleanupPolicy","9/26/17 6:54:19 PM"
